lokalbahn, lokalban
abzuziehn, aptsutsin
gewonnenen, ɡevonenən
vorbild, foəbilt
ausführlich, ausfyəlix
frauenbilder, frauənbildə
reichtums, raixtums
abkehr, apkeə
eingepflanzter, aiŋepflantstə
geatzt, ɡeatst
handhabte, hantaptə
trampelt, trampelt
apprehensionen, aprehənsionən
bowlendeckeln, bovləndekeln
genügsamkeit, ɡenyksamkait
angestiftet, aŋestiftet
aufregung, aufreɡuŋk
abschneidet, abʃnaiedet
errötend, eərøtənt
verwächst, feəvekst
vorzählen, foətselən
deutest, doyhtest
umstrichen, umstrixən
begegnungen, beɡeknuŋən
atomistik, atomistik
sonnenlaufe, tsonənlaufə
betreuer, betroyə
hinaufbewegen, hinaufbeveɡən
lehrerin, lererin
clemenza, kleməntsa
beute, boytə
widerstrahl, videəstral
musse, musə
mildgewogenen, miltɡevoɡenən
enthaltung, əntaltuŋk
bestehn, besten
untragisch, untraɡiʃ
metallischen, metaliʃən
erbrause, eəprausə
rolle, rolə
bemühten, bemytən
schmeißen, ʃmaisən
bändern, bendeən
nachens, naxəns
lebensnymphen, lebənsnymfən
äolischer, eoliʃə
ceperan, kepəran
unfernen, unfeənən
belehrten, beleətən
fortschreitender, foət͡ʃraietəndə
gebettet, ɡebetet
niveau, nifeauh
verschwundenen, feəʃvundenən
betagte, betaktə
niedersank, nideəsaŋk
vorausgesetztes, forausɡesetstes
considerable, konsideraplə
geleis, ɡelais
herzogen, heətsoɡən
vernunft, feənunft
stempels, stempels
waldmenschen, valtmənʃən
reinliche, rainlixə
stumpf, stumpf
jenseitige, jənsaietiɡə
übersteigt, ybeəstaiɡt
gewartet, ɡevaətet
harmlos, haəmlos
schonungsloser, ʃonuŋslosə
ärgert, eəɡeət
kopfe, kopfə
bedienen, bedinən
ringshin, riŋshin
alcestis, alkestis
bauen, bauən
unbeschreiblich, unbeʃraiplix
graf, kraf
umgeschwenkt, umɡeʃvənkt
endymion, əndymion
besuchsunterhaltungen, besuksunteəhaltuŋən
fünfhausener, fynfhauhsənə
räumen, royhmən
welthistorischen, veltistoriʃən
behaart, behaət
architektonische, aəxitektoniʃə
scheins, ʃains
elfen, elfən
theatralisches, teatraliʃes
ökonomie, økonomiə
überanstrengte, yberanstrənktə
organisieren, oəɡanisirən
wiegens, viɡəns
binnen, binən
unzerstörliche, untseəstøəlixə
unpünktlichkeit, unpyŋktlixkait
königlicher, køniklixə
hinübergestohlen, hinybeəɡestolən
gebt, ɡebt
auszuzieren, austsutsirən
wohlwollende, volvoləndə
ergründeten, eəkryndetən
vergossene, feəɡosənə
erde, eədə
fieberhafte, fibeəhaftə
unaesthetischer, unaestetiʃə
englische, ənkliʃə
schreiet, ʃraiet
pro, pro
ringend, riŋənt
reift, raift
hochherzigen, hoxheətsiɡən
blitzende, plitsəndə
zeil, tsail
süßigkeiten, tsysikkaietən
ausübte, auhsyptə
ehepaar, eepaə
durchschweife, duəksxvaifə
übermüthigste, ybeəmytiçstə
residierte, residiətə
abwesend, apvesənt
weggeführt, vekɡefyət
spitzbogen, spitsboɡən
agentur, aɡəntuə
rubikon, rubikon
willkommener, vilkomənə
allerliebsten, aleəlibstən
stachel, staxel
sommerlich, tsomeəlix
siebenundzwanzig, tsibenundtsvantsik
verfolgend, feəfolɡənt
grüß, krys
keckem, kekem
abgedankt, apɡedaŋkt
befohlnen, befolnən
materials, materials
feilschet, failʃet
dicken, dikən
tieferen, tieferən
vernichters, feənixteəs
cylindern, kylindeən
gewährleistung, ɡeveəlaistuŋk
verbranntem, feəprantem
gerechtigkeitslösung, ɡerextikkaitsløsuŋk
vergleiche, feəklaixə
schnippte, ʃniptə
mißtrauisch, mistrauiʃ
widerdonnern, videədoneən
gearbeitet, ɡeaəbaietet
ermißt, eəmist
voranzuschicken, forantsuʃikən
wähnendes, venəndes
wohlbehagte, volbehaktə
arme, aəmə
hierbleiben, hiəplaiebən
umzutun, umtsutun
mildern, mildeən
bedeutendsten, bedoyhtəndstən
neiget, naieɡet
schreibsekretär, ʃraipsekreteə
ehrenpräsidium, erənpresidium
scheuchen, ʃoyhxən
mißheirat, mishaiərat
vorangeht, foraŋet
gelassenen, ɡelasenən
zusammenkniff, tsusamənknif
schmerzensred, ʃmeətsənsret
fittichen, fitixən
sorglosigkeit, tsoəklosikkait
equivalent, ekvifalənt
verschiedensten, feəʃidənstən
residenzstadt, residəntsstat
gewilligt, ɡeviliçt
zusammenhängendes, tsusamənheŋəndes
untauglich, untauklix
spinnengewebe, spinənɡevebə
mitleidigen, mitlaiediçən
gesellin, ɡeselin
rauschten, rauʃtən
gebognen, ɡeboknən
durchsetzt, duəksetst
brausende, prauhsəndə
heizungsanlagen, haietsuŋksanlaɡən
verwalte, feəvaltə
bogenförmige, boɡənføəmiçə
vierfüßigen, fiəfysiɡən
erkenntnisfähigkeit, eəkənntnisfeikkait
homerischen, homeriʃən
flicht, flixt
betrachtung, betraxtuŋk
zählt, tselt
kleinode, klaiənodə
brindisi, prindisi
reinster, rainstə
ast, ast
waltenden, valtəndən
gattin, ɡatin
unwesentlich, unvesəntlix
jugendtaumel, juɡəntauhmel
widmete, vitmetə
akt, akt
verkündet, feəkyndet
trevi, trefi
versuchsballon, feəsuksbalon
entsprieße, əntsprisə
fatalismus, fatalismus
hexereien, hekseraiən
rächst, rekst
ideals, ideals
hehle, helə
unlösbar, unløsbaə
geäder, ɡeedə
rotverhüllte, rotfeəhyltə
grenzenlosem, krəntsənlosem
vollzieh, foltsi
latinen, latiənən
anzeigt, antsaiɡt
barbarenkönig, baəbarənkønik
auszusaugen, austsusauhɡən
unsers, unseəs
vorschub, foəʃup
urwiederklang, uəvideəklaŋk
ottilie, otiliə
vertan, feətan
bergen, beəɡən
euer, oyə
stammbegriffe, stambekrifə
gebären, ɡeberən
korsar, koəsaə
glacéhandschuhe, klakéhant͡ʃuə
nachruhm, naxrum
octavianus, oktafianus
epos, epos
gefall, ɡefal
indus, indus
wenngleich, vənŋklaix
verwachsene, feəvaksənə
panorama, panorama
fröhlich, frølix
notice, notikə
lägen, leɡən
verschleiern, feəʃlaieən
trauern, traueən
spielmann, spilman
zutrauen, tsutrauən
feldherr, felteər
regten, rektən
verworfne, feəvoəfnə
entfremdetes, əntfremdetes
freiwillige, fraieviliçə
anzunehmenden, antsuneməndən
haltlosen, haltlosən
gleis, klais
dosen, dosən
theorie, teoriə
umwälzungen, umveltsuŋən
wahre, varə
leibs, laibs
spröde, sprødə
haltlose, haltlosə
governo, ɡofeəno
beständigem, bestendiɡem
regsamem, reksamem
bim, bim
stetem, stetem
nunwohl, nunvol
bereden, beredən
balustraden, balustradən
notdürftigen, notdyəftieɡən
nahn, nan
maximen, maksimən
durchstecherei, duəkstexəraie
verkörpert, feəkøəpeət
wehrten, veətən
verabscheue, ferapʃoyə
zwanglosen, tsvaŋklosən
widerlaufen, videəlauhfən
kunstsinnen, kunstsinən
staubig, stauhbik
einsehen, ainsehən
erzeugende, eətsoyhɡəndə
urtheilsfähigen, uətailsfeiɡən
arbeiter, aəbaitə
nachahmer, naxamə
excelsis, ekskelsis
barmherzigen, baəmheətsiɡən
kostbarkeiten, kostbaəkaietən
rhodus, rhodus
geleugnet, ɡeloyknet
katechismuslehre, katexismuslerə
ich, ix
metallhülle, metalhylə
ungriechischeste, uŋkrixiʃestə
unterwelt, unteəvelt
knüpfend, knypfənt
grott, krot
jokasten, jokastən
schläfriger, ʃlefriçə
eilands, aielands
blasinstrumente, plasinstruməntə
zischen, tsiʃən
entgegenlenkend, əntɡeɡənlənkənt
schlupfwinkel, ʃlupfviŋkel
sträflicher, streflixə
manches, manxes
urfreude, uəfroydə
vatersorg, fateəsoək
vorteilhaft, foətailhaft
erschlaffte, eəʃlaftə
ausbreiten, auspraietən
ausserkünstlerischen, auseəkynstleriʃən
kämpfen, kempfən
geschminkten, ɡeʃmiŋktən
wunderreiches, vundeəraiexes
blickte, pliktə
eingestiegen, aiŋestieɡən
falscher, falʃə
arm, aəm
schweigsamkeit, ʃvaiksamkait
bettes, betes
geschlechts, ɡeʃlexts
alleinige, alaiəniçə
schwebet, ʃvebet
mau, mauh
zwacken, tsvakən
notizbuch, notitsbux
zweierlei, tsvaieəlaie
wundernehmen, vundeənemən
späh, spe
woandershin, voandeəshin
vikarirend, fikarirənt
darein, darain
ausfallen, ausfalən
stillschweigend, stilʃvaieɡənt
menschenansammlung, mənʃenansamluŋk
alleebäume, aleboymə
zusammenzufassen, tsusaməntsufasən
interessierte, interesiətə
heranwächst, heranvekst
untergegangen, unteəɡeɡaŋən
trockner, troknə
abgerissenen, apɡerisenən
erloschenen, eəloʃenən
hinzuwallen, hintsuvalən
umgebet, umɡebet
heraussagen, herausaɡən
umfangen, umfaŋən
traulichkeit, trauhlixkait
zugaben, tsuɡabən
unglücksfälle, uŋklyksfelə
erklärungsart, eəkleruŋksaət
schwesterschaft, ʃvesteəʃaft
parteiung, paətaiuŋk
intendanten, intəndantən
greift, kraift
finsternissen, finsteənisən
sportvereine, spoətferainə
getödtet, ɡetøtet
zierlich, tsiəlix
zertrümmern, tseətrymeən
überschweifen, ybeəʃvaiefən
reglosen, reklosən
ungebührlich, uŋebyəlix
furchtbares, fuəxtbares
religionen, reliɡionən
stomachische, stomaxiʃə
singsang, tsiŋksaŋk
erheblichkeit, eəheplixkait
siedet, tsidet
spill, spil
tönte, tøntə
nachwirkung, naxviəkuŋk
zuweilen, tsuvaielən
erlernte, eəleəntə
bedingen, bediŋən
anfällt, anfelt
ergründe, eəkryndə
rückenlage, rykənlaɡə
menschenfluten, mənʃənflutən
flitterschau, fliteəʃauh
zurückgedacht, tsurykɡedaxt
fidibus, fidibus
glättet, kletet
unbequemes, unbekvemes
jubellied, jubelit
taktvollen, taktfolən
wahrscheinliche, vaəʃainlixə
schreckte, ʃrektə
gehörntes, ɡehøəntes
einschaltungen, ainʃaltuŋən
aschenhaufen, aʃənhauhfən
feindlich, faintlix
wohlerwogen, voleəvoɡən
lebenslage, lebənslaɡə
fertigen, feətieɡən
striegel, striɡel
unerobert, unerobeət
freigesprochen, fraieɡesproxən
abgedruckt, apɡetrukt
mendelssohnschen, məndelsonʃən
lustentzündet, lustəntsyndet
zuzuhören, tsutsuørən
spiegels, spiɡels
erklärungsgrunde, eəkleruŋskrundə
beinen, baiənən
lasterlebens, lasteəlebəns
fressen, fresən
thebens, tebəns
mindre, mintrə
größtenteils, krøstəntails
bekannten, bekantən
angetraut, aŋetraut
krankheit, kraŋkhait
mangelhaften, maŋelhaftən
erkenntnisvermögen, eəkənntnisfeəmøɡən
launiger, lauhniçə
blutest, plutest
entläßt, əntlest
öffentliche, øfəntlixə
leugnerische, loykneriʃə
ausbreiteten, auspraietetən
helfend, helfənt
gelbledernen, ɡelpledeənən
erlösenden, eəløsəndən
musikgenuss, musikɡenus
sonnt, tsont
most, most
schlafwachen, ʃlafvaxən
minder, mində
pfaffenmiene, pfafənminə
menschenähnlich, mənʃenenlix
schenkung, ʃənkuŋk
gläubigern, kloyhbiɡeən
moquierte, mokviətə
verachtenden, feraxtəndən
säe, tseə
krönchen, krønxən
desgleichen, desklaiexən
unterbrach, unteəprax
rotbärtige, rotbeətiɡə
braun, praun
freute, froytə
return, retuən
soiree, tsoireə
philipps, filips
kindische, kindiʃə
hinaufgekommen, hinaufɡekomən
verlohnt, feəlont
widders, vitdeəs
archilochus, aəxiloxus
tannenbäumchen, tanənboymxən
barbierstuben, baəbiəstubən
überlieferte, ybeəlifeətə
dunkler, duŋklə
erobern, ərobeən
ereilten, ərailtən
allermeist, aleəmaist
hafteten, haftetən
antreten, antretən
provencialischen, profənkialiʃən
schlafenden, ʃlafəndən
träumer, troymə
castor, kastoə
fortreisen, foətraiesən
barvermögen, baəfeəmøɡən
ausforschte, ausfoəʃtə
riesenhaft, risənhaft
herversetzt, heəfeəsetst
beachtete, beaxtetə
meeresstille, merestilə
kanzelei, kantselaie
mitgliedern, mitklideən
reproduktion, reproduktsion
zerstreuter, tseəstroytə
umgekommen, umɡekomən
lombarden, lombaədən
erfahrungsbegriffs, eəfaruŋsbekrifs
emporgerungen, empoəɡeruŋən
vorstellungsformen, foəsteluŋsfoəmən
wiederverlangen, videəfeəlaŋən
herzgrube, heətskrubə
grenzpunkt, krəntspuŋkt
stündlein, styntlain
umschweben, umʃvebən
heimathlose, haiematlosə
unterstrichen, unteəstrixən
zeitverderb, tsaitfeədeəp
blumenkorsos, plumənkoəsos
hauptteile, hauptailə
mysterien, mysterin
tempel, tempel
pflog, pflok
einverleibt, ainfeəlaibt
nationalzeitung, natsionaltsaietuŋk
nahet, nahet
voranstanden, foranstandən
verdoppeln, feədopeln
dahingerafft, dahiŋeraft
zahn, tsan
veroneser, feronesə
sammetstühlen, tsametstylən
rühmet, rymet
stünden, styndən
neid, nait
herauslösung, herausløsuŋk
vorgetragenen, foəɡetraɡenən
armer, aəmə
eingefallenen, aiŋefalenən
hell, hel
hinabließ, hinaplis
hauszuhalten, haustsuhaltən
ernstes, eənstes
kreuzweise, kroytsvaisə
herbeiberufen, heəbaieberufən
bedeckte, bedektə
tonmaß, tonmas
oberkörper, obeəkøəpə
kurzlebenden, kuətslebəndən
durchdröhnt, duəxtrønt
entwachsen, əntvaksən
troglodytisch, troklodytiʃ
unverdientes, unfeədintes
entgegenritten, əntɡeɡənritən
mittteilend, mittaielənt
vorstellen, foəstelən
halbmesser, halpmesə
berechtigen, berextieɡən
rätselkram, retselkram
hervorsprangen, heəfoəspraŋən
half, half
rechte, rextə
sand, tsant
vollziehend, foltsiənt
zurechtmachung, tsurextmaxuŋk
beeinträchtigen, beintrextieɡən
entbehrlicher, əntbeəlixə
kuttenträger, kutəntreɡə
zugehört, tsuɡehøət
schirokko, ʃirokko
kunstvergöttlicher, kunstfeəɡøtlixə
kiefern, kifeən
unternehmungen, unteənemuŋən
parlaments, paəlamənts
äußerster, oyseəstə
würdevoll, vyədefol
alberne, albeənə
meiner, mainə
komplimentieren, kompliməntiərən
herstelle, heəstelə
naturgemäße, natuəɡemesə
indianischem, indianiʃem
ausdrücklichen, austryklixən
kosmologisch, kosmoloɡiʃ
flammenräder, flamənredə
conversion, konfeəsion
abspannung, abspanuŋk
etsch, et͡ʃ
elends, elənds
présence, présənkə
entlastet, əntlastet
trauer, trauə
unverfänglichen, unfeəfeŋklixən
kaufte, kauftə
verleugnet, feəloyknet
erebus, ərebus
donnerlaut, doneəlaut
krisis, krisis
schwärmereien, ʃveəmeraiən
begleiterinnen, beklaieterinən
nügte, nyktə
beherrscher, beheərʃə
krächzegruß, krextsekrus
missächtliches, misextlixes
hüte, hytə
gestehe, ɡesteə
heranzubringen, herantsupriŋən
durchdrangen, duəxtraŋən
eingerichteten, aiŋerixtetən
notwehr, notveə
scheiternd, ʃaieteənt
raising, raiesiŋk
gegenteil, ɡeɡəntail
schwarm, ʃvaəm
ausgezeichnete, ausɡetsaixnetə
beuteschatz, boyhteʃats
gestaltet, ɡestaltet
dasitzen, dasitsən
zufälliger, tsufeliçə
astronom, astronom
herabzusenken, heraptsusənkən
gleichzeitigen, klaixtsaietiɡən
wagnerianers, vaknerianeəs
graugebornen, krauhɡeboənən
mitteilte, mitailtə
hinreichende, hinraiexəndə
mitzöglinge, mitsøkliŋə
würze, vyətsə
unseligkeit, unselikkait
schulknabe, ʃulknabə
entglimmt, əntklimt
zurückziehen, tsuryktsiən
kiesgewässer, kisɡevesə
befohlenen, befolenən
dogmatik, dokmatik
jasagendes, jasaɡəndes
hauptstädter, hauptstetə
beträchtlichen, betrextlixən
retteten, retetən
gerechtfertigte, ɡerextfeətiktə
ungezweifelt, uŋetsvaiefelt
famagost, famaɡost
ausgeschlossenheit, ausɡeʃlosənhait
untergrub, unteəkrup
bummler, bumlə
unzweideutige, untsvaiedoyhtiɡə
heid, hait
mißverstandes, misfeəstandes
kreuzte, kroytstə
bevölkerung, befølkeruŋk
pflegte, pflektə
gestöbert, ɡestøbeət
neigte, naiktə
betet, betet
kisten, kistən
skrupel, skrupel
ausspannen, auspanən
balls, bals
unerschöpflich, uneəʃøpflix
leise, laisə
oftmals, oftmals
müsset, myset
großen, krosən
ungelenk, uŋelənk
genugsame, ɡenuksamə
berief, berif
embryo, embryo
schlürfend, ʃlyəfənt
aufwecken, aufvekən
rechnet, rexnet
physiologischer, fysioloɡiʃə
umhergedrängt, umheəɡetreŋt
boudoir, boudoiə
hierhergebracht, hiəheəɡepraxt
möbel, møbel
bewundrer, bevuntrə
hereinzublicken, heraintsuplikən
windmühlenflügel, vintmylənflyɡel
trachtet, traxtet
auftritt, auftrit
meilenfern, maielənfeən
ecke, ekə
schwereren, ʃverərən
drängts, treŋts
kleinere, klaiənərə
sonderbare, tsondeəbarə
erfriert, eəfriət
wohlriechender, volrixəndə
vorrate, foəratə
anschauende, anʃauəndə
entgegengehn, əntɡeɡənɡen
verstaubter, feəstauptə
weisungen, vaiesuŋən
pfahl, pfal
ausschau, ausxauh
kratzten, kratstən
kollern, koleən
hingen, hiŋən
ibsen, ipsən
bildnissen, biltnisən
nd, nt
leibniz, laipnits
vorzeiten, foətsaietən
behangenen, behaŋenən
keusche, koyʃə
einzubrechen, aintsuprexən
wohlgedeckt, volɡedekt
gefesselt, ɡefeselt
alltag, altak
ersterbe, eəsteəbə
relative, relatifə
winkes, viŋkes
süßeste, tsysestə
nachzublicken, naxtsuplikən
besorgte, besoəktə
evangelist, efaŋelist
fleischigen, flaieʃiçən
fortschreitende, foət͡ʃraietəndə
umschleicht, umʃlaixt
unverschämt, unfeəʃemt
orient, orint
musik, musik
unendliches, unəntlixes
studienjahr, studinjaə
puppenzwang, pupəntsvaŋk
sklav, sklaf
widerdämon, videədemon
wanst, vanst
musizieren, musitsirən
eleganter, eleɡantə
recitativ, rekitatif
liebentzündet, libəntsyndet
hingiebst, hiŋibst
äußerte, oyseətə
schindeldach, ʃindeldax
ansehen, ansehən
merkwürdiges, meəkvyədiɡes
amtsgemäß, amtsɡemes
streifchen, straifxən
herrschers, heərʃeəs
stadtgartens, statɡaətəns
lastet, lastet
vereinsamter, ferainsamtə
wohlgeboren, volɡeborən
approved, aprofet
numerischen, numeriʃən
leidigem, laiediçem
zusammenknüpfen, tsusamənknypfən
tätigkeit, tetikkait
mulltaille, multailə
unvollständigen, unfolstendiɡən
merkst, meəkst
beunruhigen, boynruhiɡən
geschirr, ɡeʃiər
entgegentanzte, əntɡeɡəntantstə
flackerten, flakeətən
umgetauscht, umɡetauʃt
machtgebilde, maxtɡebildə
allo, alo
bibliothek, bipliotek
gruppe, krupə
panik, panik
vorerinnerung, forerineruŋk
betritt, betrit
napoleonem, napoleonem
auferlegte, auhfeəlektə
extent, ekstənt
sterbend, steəbənt
augenwimmpern, auhɡənvimpeən
entgegnet, əntɡeknet
steuerzahler, stoyeətsalə
opposition, opositsion
stachelschwanz, staxelʃvants
nebelbank, nebelbaŋk
kunstwelten, kunstveltən
einwände, ainvendə
morgenrot, moəɡənrot
dumpf, dumpf
magischer, maɡiʃə
einzelnes, aintselnes
unerbittlichste, uneəbitlikstə
versinnlicht, feəsinlixt
ethik, etik
periode, periodə
fragwürdigem, frakvyədiɡem
wegschaffen, vekʃafən
mittelfinger, mitelfiŋə
amerikanischer, amerikaniʃə
gewürdigt, ɡevyədiçt
gegnern, ɡekneən
familie, familiə
ballkönig, balkønik
weheschlund, veheʃlunt
würzburg, vyətsbuək
verfehlt, feəfelt
mythen, mytən
gefolterten, ɡefolteətən
befangenheit, befaŋənhait
eilgebot, ailɡebot
anzogen, antsoɡən
lenz, lənts
todesfeier, todesfaiə
refraktären, refrakterən
vorzuzeichnen, foətsutsaixnən
wohngewinn, voŋevin
gartensalon, ɡaətənsalon
zurückgeworfnen, tsurykɡevoəfnən
kassen, kasən
armlehnen, aəmlenən
geisteskräfte, ɡaisteskreftə
tonart, tonaət
erlagst, eəlaɡst
entgegenneigen, əntɡeɡənnaieɡən
lamme, lamə
zerstreutes, tseəstroyhtes
unvernunft, unfeənunft
allbesitz, albesits
sehend, tsehənt
nächstkünftige, nekstkynftiɡə
gelockt, ɡelokt
zeichensprache, tsaiexənspraxə
jahreszeit, jarestsait
geisterschritt, ɡaisteəʃrit
vorausgehen, forausɡehən
bittender, bitəndə
vollende, foləndə
wyoming, vyomiŋk
unerfreuliche, uneəfroyhlixə
scherzhaft, ʃeətshaft
lift, lift
wimmele, vimelə
freundliche, froyntlixə
tuchrock, tuxrok
rock, rok
ungewohnten, uŋevontən
wohnet, vonet
kohlen, kolən
ersichtlichen, eəsixtlixən
vielmehr, filmeə
fackelscheine, fakelʃainə
anzurathen, antsuratən
sagt, tsaɡt
dunstes, dunstes
abwarten, apvaətən
angebotenen, aŋebotenən
melodien, melodin
dreihundert, traieundeət
realisiert, realisiət
vollbesitze, folbesitsə
griechischem, krixiʃem
präsentieren, presəntiərən
staatsbetrieben, statsbetribən
abenteuern, abəntoyeən
geschmolznes, ɡeʃmoltsnes
kupee, kupeə
aufzuziehen, auftsutsiən
ritterdienste, riteədinstə
einzulassen, aintsulasən
wasserwogen, vaseəvoɡən
bewusstlos, bevustlos
zusammengehn, tsusamənɡen
militärische, militeriʃə
hypothesen, hypotesən
toller, tolə
krankenzwieback, kraŋkəntsvibak
junianfang, junianfaŋk
schelme, ʃelmə
schlagen, ʃlaɡən
gemartert, ɡemaəteət
beeiferung, beiferuŋk
pur, puə
absätzen, apsetsən
hausrecht, hausrext
orgiastischen, oəɡiastieʃən
gereift, ɡeraift
dreieinig, traiaiənik
zuschaute, tsuʃautə
fortzuzieh, foətsutsi
erteil, eətail
falk, falk
sribaldello, sribaldelo
schlages, ʃlaɡes
muß, mus
bewirtschaftet, beviət͡ʃaftet
vertilgt, feətilɡt
empfindende, empfindəndə
ministers, ministeəs
enthoben, əntobən
jammernd, jameənt
schwesterliche, ʃvesteəlixə
mailuft, maieluft
raufen, rauhfən
zedlitz, tsetlits
schüttle, ʃytlə
nachfrage, naxfraɡə
sicherte, tsixeətə
tausendblumiger, tauhsəndplumiçə
einlud, ainlut
barbarisch, baəbariʃ
mißgehandelt, misɡehandelt
intuitiv, intuitif
unterweges, unteəveɡes
ausritt, ausrit
ostens, ostəns
schönheiten, ʃønhaietən
trento, trənto
aufeinander, auhfaiənandə
unklar, uŋklaə
einnähme, ainemə
harpy, haəpy
vischer, fiʃə
energisches, əneəɡiʃes
friedlich, fritlix
anheimgefallen, anhaimɡefalən
camilla, kamila
sparte, spaətə
überwiesen, ybeəvisən
freigebig, fraieɡebik
lanzen, lantsən
entgegengingen, əntɡeɡənɡiŋən
abydos, abydos
verlag, feəlak
abgab, apɡap
hermelindraperie, heəmelintraperiə
aufhörenden, aufhørəndən
bewohnen, bevonən
auen, auən
offne, ofnə
massierten, masiətən
tiefe, tiefə
schwatzhaft, ʃvatshaft
einhaucht, ainhauxt
auferlegt, auhfeəleɡt
thauwinde, tauhvində
geschnitzt, ɡeʃnitst
fortganges, foətɡaŋes
füßle, fyslə
pathetische, patetiʃə
hantierte, hantieətə
kugel, kuɡel
stoffen, stofən
piken, pikən
hahn, han
gesten, ɡestən
weinstein, vainstain
heimat, haiemat
unverbrüchlich, unfeəpryxlix
fadenweis, fadənvais
entfalten, əntfaltən
zusammenschrumpfte, tsusamənʃrumpftə
verkündigung, feəkyndiɡuŋk
marktschreierei, maəkt͡ʃraiəraie
transcribe, transkribə
herzensgrund, heətsənskrunt
gelöst, ɡeløst
stufenartiges, stufenaətieɡes
übriger, ypriçə
entgegentritt, əntɡeɡəntrit
ansehnliches, ansenlixes
nutzlos, nutslos
unmittelbaren, unmitelbarən
verschwendrisch, feəʃvəntriʃ
schienen, ʃinən
zusammenfließt, tsusamənflist
erwähnen, eəvenən
noologisten, noloɡistən
grimmigem, krimiɡem
genügende, ɡenyɡəndə
thöricht, tørixt
gehalten, ɡehaltən
genusse, ɡenusə
äneis, enais
hofknicks, hofkniks
klarsten, klaəstən
benahm, benam
wundenmal, vundənmal
alfred, alfret
hervorwachsen, heəfoəvaksən
décadent, dékadənt
etui, etui
gewöhnlich, ɡevønlix
maßstab, masstap
riesenglieder, risənklidə
getränkes, ɡetreŋkes
bewilligung, beviliɡuŋk
trachtend, traxtənt
klugheitsregel, klukhaitsreɡel
allegorisch, aleɡoriʃ
beherrschten, beheərʃtən
schnallenschuhen, ʃnalənʃuhən
gehörtest, ɡehøətest
rätselhaften, retselhaftən
teppichhalle, tepixhalə
